剧本编号,剧本名字,叙事模式ID,叙事模式名称,英文名称,场次数,五阶段强度曲线,五阶段主冲突,峰值阶段,峰值强度(%),强度振幅,场次波动次数,局部峰值数,判定依据,置信度,关键证据场次
02001027,米注山,M04,单峰转折型,The Early Climax / Anti-climax,4,28-39-77-77-77,开端:骨肉伦理；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,转折,77.0,49.0,0,0,主要峰值位于转折，呈提前爆点结构。,0.74,"开端:第一场(骨肉伦理,28%)；发展:第二场(骨肉伦理,39%)；转折:第三场(敌我攻守,77%)；高潮:第三场(敌我攻守,77%)；结局:第四场(骨肉伦理,77%)"
02001028,米注山,M03,多峰波折型,The Rollercoaster,3,80-54-36-54-36,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,80.0,44.0,0,0,五阶段显著峰值2个、阶段方向切换2次，振幅44.0点。,0.86,"开端:第一场(敌我攻守,80%)；发展:第二场(敌我攻守,54%)；转折:第三场(敌我攻守,36%)；高潮:第二场(敌我攻守,54%)；结局:第三场(敌我攻守,36%)"
02001030,连环阵,M04,单峰转折型,The Early Climax / Anti-climax,10,50-52.7-92-68-69,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,转折,92.0,42.0,6,3,峰值提前在转折(92.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,50%)；发展:第三场(敌我攻守,73%)；转折:第五场(敌我攻守,92%)；高潮:第九场(敌我攻守,82%)；结局:第十场(敌我攻守,69%)"
02001032,龙门山,M07,平缓铺陈型,The Low-tension Episodic,16,55-46.3-38-40.6-43,开端:君臣撕裂；发展:敌我攻守；转折:情绪爆发；高潮:敌我攻守；结局:敌我攻守,开端,55.0,17.0,7,2,五阶段振幅17.0点，阶段强度差异较小。,0.78,"开端:第一场(君臣撕裂,55%)；发展:第二场(敌我攻守,54%)；转折:第九场(情绪爆发,38%)；高潮:第十四场(敌我攻守,50%)；结局:第十六场(敌我攻守,47%)"
02001033,搜孤救孤,M01,后置高潮型,The Classic Build-up,9,36-54.7-40-68.7-60,开端:骨肉伦理；发展:君臣撕裂；转折:敌我攻守；高潮:骨肉伦理；结局:骨肉伦理,高潮,68.67,32.67,5,3,峰值位于高潮(68.7)，较开端提高32.7点。,0.86,"开端:第一场(骨肉伦理,36%)；发展:第四场(骨肉伦理,75%)；转折:第五场(敌我攻守,40%)；高潮:第七场(骨肉伦理,77%)；结局:第九场(骨肉伦理,60%)"
02001034,搜孤救孤,M03,多峰波折型,The Rollercoaster,3,97-45-13-45-13,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,97.0,84.0,0,0,五阶段显著峰值2个、阶段方向切换2次，振幅84.0点。,0.86,"开端:第一场(骨肉伦理,97%)；发展:第二场(骨肉伦理,45%)；转折:第三场(骨肉伦理,13%)；高潮:第二场(骨肉伦理,45%)；结局:第三场(骨肉伦理,13%)"
02001044,西施,M07,平缓铺陈型,The Low-tension Episodic,37,45-46-48-44.2-38.5,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,转折,48.0,9.5,17,3,五阶段振幅9.5点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,45%)；发展:第九场(关系转折,60%)；转折:第二十场(骨肉伦理,48%)；高潮:第三十二场(公案审判,57%)；结局:第三十四场(敌我攻守,42%)"
02001046,装疯,M08,独场凝缩型,The Condensed One-scene,1,59-59-59-59-59,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,59.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,59%)；发展:独场(骨肉伦理,59%)；转折:独场(骨肉伦理,59%)；高潮:独场(骨肉伦理,59%)；结局:独场(骨肉伦理,59%)"
02001047,五雷阵,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第一场(骨肉伦理,62%)；发展:第一场(骨肉伦理,62%)；转折:第一场(骨肉伦理,62%)；高潮:第一场(骨肉伦理,62%)；结局:第一场(骨肉伦理,62%)"
02001048,五雷阵,M05,开端爆发型,In Medias Res,4,82-82-45-45-15,开端:敌我攻守；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,开端,82.0,67.0,0,0,峰值出现在开端(82.0)，高于后续平均35.2点。,0.82,"开端:第一场(敌我攻守,82%)；发展:第二场(骨肉伦理,82%)；转折:第三场(敌我攻守,45%)；高潮:第三场(敌我攻守,45%)；结局:第四场(骨肉伦理,15%)"
02001049,五雷阵,M04,单峰转折型,The Early Climax / Anti-climax,5,65-66-53-32-53,开端:骨肉伦理；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:骨肉伦理,发展,66.0,34.0,1,0,峰值提前在发展(66.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,65%)；发展:第二场(敌我攻守,66%)；转折:第三场(敌我攻守,53%)；高潮:第四场(敌我攻守,32%)；结局:第五场(骨肉伦理,53%)"
02001050,五雷阵,M03,多峰波折型,The Rollercoaster,4,58-32-39-39-83,开端:敌我攻守；发展:君臣撕裂；转折:君臣撕裂；高潮:君臣撕裂；结局:骨肉伦理,结局,83.0,51.0,1,0,五阶段显著峰值2个、阶段方向切换1次，振幅51.0点。,0.86,"开端:第一场(敌我攻守,58%)；发展:第二场(君臣撕裂,32%)；转折:第三场(君臣撕裂,39%)；高潮:第三场(君臣撕裂,39%)；结局:第四场(骨肉伦理,83%)"
02001056,幻化,M08,独场凝缩型,The Condensed One-scene,1,43-43-43-43-43,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,43.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,43%)；发展:独场(骨肉伦理,43%)；转折:独场(骨肉伦理,43%)；高潮:独场(骨肉伦理,43%)；结局:独场(骨肉伦理,43%)"
02002005,大十面,M08,独场凝缩型,The Condensed One-scene,1,47-47-47-47-47,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,47.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(敌我攻守,47%)；发展:独场(敌我攻守,47%)；转折:独场(敌我攻守,47%)；高潮:独场(敌我攻守,47%)；结局:独场(敌我攻守,47%)"
02002007,韩信,M03,多峰波折型,The Rollercoaster,29,39-42.9-64-60.7-56.7,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,转折,64.0,25.0,17,5,场次级方向切换17次、局部峰值5个，振幅25.0点。,0.76,"开端:第一场(骨肉伦理,39%)；发展:第十四场(敌我攻守,56%)；转折:第十六场(骨肉伦理,64%)；高潮:第二十场(敌我攻守,73%)；结局:第二十九场(骨肉伦理,62%)"
02002016,卓文君,M02,渐强推进型,The Snowball / Crescendo,21,15-48.8-53-60.4-47,开端:骨肉伦理；发展:骨肉伦理；转折:君臣撕裂；高潮:骨肉伦理；结局:敌我攻守,高潮,60.43,45.43,14,6,整体斜率为正(32.0)，阶段回落1次，峰值靠后。,0.86,"开端:第一场(骨肉伦理,15%)；发展:第十场(骨肉伦理,72%)；转折:第十一场(君臣撕裂,53%)；高潮:第十八场(骨肉伦理,79%)；结局:第二十一场(骨肉伦理,70%)"
02002017,昭君出塞,M08,独场凝缩型,The Condensed One-scene,1,53-53-53-53-53,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,53.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,53%)；发展:独场(骨肉伦理,53%)；转折:独场(骨肉伦理,53%)；高潮:独场(骨肉伦理,53%)；结局:独场(骨肉伦理,53%)"
02002030,太行山,M08,独场凝缩型,The Condensed One-scene,1,55-55-55-55-55,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,55.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(骨肉伦理,55%)；发展:独场(骨肉伦理,55%)；转折:独场(骨肉伦理,55%)；高潮:独场(骨肉伦理,55%)；结局:独场(骨肉伦理,55%)"
02002032,汉忠烈,M04,单峰转折型,The Early Climax / Anti-climax,16,59-49.3-72-69.6-56,开端:敌我攻守；发展:君臣撕裂；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,转折,72.0,22.71,7,4,峰值提前在转折(72.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,59%)；发展:第二场(君臣撕裂,74%)；转折:第九场(骨肉伦理,72%)；高潮:第十一场(骨肉伦理,81%)；结局:第十五场(骨肉伦理,71%)"
02002033,汉忠烈,M04,单峰转折型,The Early Climax / Anti-climax,11,31-53.5-60-47-48.5,开端:君臣撕裂；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:君臣撕裂,转折,60.0,29.0,6,3,峰值提前在转折(60.0)，后续未形成更高增量。,0.84,"开端:第一场(君臣撕裂,31%)；发展:第二场(骨肉伦理,77%)；转折:第六场(敌我攻守,60%)；高潮:第七场(敌我攻守,72%)；结局:第十一场(骨肉伦理,60%)"
02002034,汉忠烈,M03,多峰波折型,The Rollercoaster,9,62-36.3-77-55.7-69,开端:骨肉伦理；发展:君臣撕裂；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,转折,77.0,40.67,5,2,五阶段显著峰值3个、阶段方向切换3次，振幅40.7点。,0.86,"开端:第一场(骨肉伦理,62%)；发展:第三场(忠义抉择,46%)；转折:第五场(骨肉伦理,77%)；高潮:第六场(敌我攻守,64%)；结局:第九场(骨肉伦理,69%)"
02002035,汉忠烈,M07,平缓铺陈型,The Low-tension Episodic,12,41-45.8-54-51.7-58.5,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:神怪显灵；结局:骨肉伦理,结局,58.5,17.5,6,2,五阶段振幅17.5点，阶段强度差异较小。,0.78,"开端:第一场(骨肉伦理,41%)；发展:第二场(骨肉伦理,55%)；转折:第七场(骨肉伦理,54%)；高潮:第九场(敌我攻守,63%)；结局:第十二场(敌我攻守,64%)"
02003001,斩熊虎,M08,独场凝缩型,The Condensed One-scene,2,50-50-50-50-50,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,开端,50.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第二场(骨肉伦理,80%)；发展:第二场(骨肉伦理,80%)；转折:第二场(骨肉伦理,80%)；高潮:第二场(骨肉伦理,80%)；结局:第二场(骨肉伦理,80%)"
02003003,捉放曹,M07,平缓铺陈型,The Low-tension Episodic,3,62-46-62-46-62,开端:敌我攻守；发展:敌我攻守；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,开端,62.0,16.0,1,0,五阶段振幅16.0点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,62%)；发展:第二场(敌我攻守,46%)；转折:第三场(骨肉伦理,62%)；高潮:第二场(敌我攻守,46%)；结局:第三场(骨肉伦理,62%)"
02003004,捉放曹,M06,结尾爆发型,The Final Reveal,4,52-60-37-37-63,开端:骨肉伦理；发展:敌我攻守；转折:骨肉伦理；高潮:骨肉伦理；结局:敌我攻守,结局,63.0,26.0,2,1,峰值出现在结局(63.0)，高于前四阶段平均16.5点。,0.83,"开端:第一场(骨肉伦理,52%)；发展:第二场(敌我攻守,60%)；转折:第三场(骨肉伦理,37%)；高潮:第三场(骨肉伦理,37%)；结局:第四场(敌我攻守,63%)"
02003005,斩华雄,M04,单峰转折型,The Early Climax / Anti-climax,4,59-74-51-51-32,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,发展,74.0,42.0,1,1,峰值提前在发展(74.0)，后续未形成更高增量。,0.84,"开端:第一场(敌我攻守,59%)；发展:第二场(敌我攻守,74%)；转折:第三场(敌我攻守,51%)；高潮:第三场(敌我攻守,51%)；结局:第四场(敌我攻守,32%)"
02003006,虎牢关,M03,多峰波折型,The Rollercoaster,6,75-55-38-70-49,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,75.0,37.0,2,1,五阶段显著峰值2个、阶段方向切换2次，振幅37.0点。,0.86,"开端:第一场(敌我攻守,75%)；发展:第二场(敌我攻守,55%)；转折:第三场(敌我攻守,38%)；高潮:第五场(敌我攻守,89%)；结局:第六场(敌我攻守,49%)"
02003013,凤凰台,M03,多峰波折型,The Rollercoaster,5,46-36-42-63-74,开端:骨肉伦理；发展:骨肉伦理；转折:骨肉伦理；高潮:敌我攻守；结局:骨肉伦理,结局,74.0,38.0,1,0,五阶段显著峰值2个、阶段方向切换1次，振幅38.0点。,0.86,"开端:第一场(骨肉伦理,46%)；发展:第二场(骨肉伦理,36%)；转折:第三场(骨肉伦理,42%)；高潮:第四场(敌我攻守,63%)；结局:第五场(骨肉伦理,74%)"
02003021,骂曹饯行,M08,独场凝缩型,The Condensed One-scene,1,45-45-45-45-45,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,45.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:第二场(敌我攻守,45%)；发展:第二场(敌我攻守,45%)；转折:第二场(敌我攻守,45%)；高潮:第二场(敌我攻守,45%)；结局:第二场(敌我攻守,45%)"
02003022,打吉平,M08,独场凝缩型,The Condensed One-scene,1,66-66-66-66-66,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,66.0,0.0,0,0,有效场次数小于等于2，按短剧/折子戏凝缩结构归类。,0.92,"开端:独场(敌我攻守,66%)；发展:独场(敌我攻守,66%)；转折:独场(敌我攻守,66%)；高潮:独场(敌我攻守,66%)；结局:独场(敌我攻守,66%)"
02003030,徐母骂曹,M06,结尾爆发型,The Final Reveal,6,36-34-55-61.5-65,开端:敌我攻守；发展:骨肉伦理；转折:骨肉伦理；高潮:骨肉伦理；结局:骨肉伦理,结局,65.0,31.0,1,0,峰值出现在结局(65.0)，高于前四阶段平均18.4点。,0.83,"开端:第一场(敌我攻守,36%)；发展:第二场(骨肉伦理,34%)；转折:第三场(骨肉伦理,55%)；高潮:第五场(骨肉伦理,70%)；结局:第六场(骨肉伦理,65%)"
02003033,汉阳院,M07,平缓铺陈型,The Low-tension Episodic,11,52-48-53-50-40,开端:敌我攻守；发展:骨肉伦理；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,转折,53.0,13.0,6,2,五阶段振幅13.0点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,52%)；发展:第三场(敌我攻守,63%)；转折:第六场(敌我攻守,53%)；高潮:第九场(敌我攻守,59%)；结局:第十场(敌我攻守,45%)"
02004001,龙凤呈祥,M04,单峰转折型,The Early Climax / Anti-climax,7,70-56.5-72-62.5-49,开端:君臣撕裂；发展:骨肉伦理；转折:骨肉伦理；高潮:君臣撕裂；结局:骨肉伦理,转折,72.0,23.0,4,1,峰值提前在转折(72.0)，后续未形成更高增量。,0.84,"开端:第一场(君臣撕裂,70%)；发展:第三场(君臣撕裂,71%)；转折:第四场(骨肉伦理,72%)；高潮:第六场(君臣撕裂,85%)；结局:第七场(骨肉伦理,49%)"
02004002,龙凤呈祥,M04,单峰转折型,The Early Climax / Anti-climax,13,25-58-62-58.2-47,开端:骨肉伦理；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,转折,62.0,37.0,8,4,峰值提前在转折(62.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,25%)；发展:第二场(敌我攻守,67%)；转折:第七场(敌我攻守,62%)；高潮:第十一场(骨肉伦理,76%)；结局:第十四场(敌我攻守,50%)"
02004004,取西川,M04,单峰转折型,The Early Climax / Anti-climax,7,31-71-65-50-68,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,发展,71.0,40.0,2,1,主要峰值位于发展，呈提前爆点结构。,0.74,"开端:第一场(敌我攻守,31%)；发展:第二场(敌我攻守,80%)；转折:第四场(敌我攻守,65%)；高潮:第六场(敌我攻守,63%)；结局:第七场(敌我攻守,68%)"
02004008,反西凉,M07,平缓铺陈型,The Low-tension Episodic,16,46-45.6-53-51.4-39.5,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:关系转折,转折,53.0,13.5,4,1,五阶段振幅13.5点，阶段强度差异较小。,0.78,"开端:第一场(敌我攻守,46%)；发展:第六场(敌我攻守,56%)；转折:第九场(敌我攻守,53%)；高潮:第十一场(敌我攻守,64%)；结局:第十五场(关系转折,46%)"
02004018,战合肥,M06,结尾爆发型,The Final Reveal,9,72-64.3-42-52.3-81,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,结局,81.0,39.0,3,0,峰值出现在结局(81.0)，高于前四阶段平均23.3点。,0.83,"开端:第一场(敌我攻守,72%)；发展:第三场(敌我攻守,77%)；转折:第五场(敌我攻守,42%)；高潮:第七场(敌我攻守,57%)；结局:第九场(敌我攻守,81%)"
02004020,瓦口关,M03,多峰波折型,The Rollercoaster,11,32-50.2-72-42.7-65.5,开端:敌我攻守；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,转折,72.0,40.0,5,2,五阶段显著峰值2个、阶段方向切换2次，振幅40.0点。,0.86,"开端:第一场(敌我攻守,32%)；发展:第四场(敌我攻守,77%)；转折:第七场(敌我攻守,72%)；高潮:第十场(敌我攻守,63%)；结局:第十二场(敌我攻守,68%)"
02004028,造白袍,M03,多峰波折型,The Rollercoaster,4,67-31-37-37-63,开端:君臣撕裂；发展:敌我攻守；转折:敌我攻守；高潮:敌我攻守；结局:敌我攻守,开端,67.0,36.0,1,0,五阶段显著峰值2个、阶段方向切换1次，振幅36.0点。,0.86,"开端:第一场(君臣撕裂,67%)；发展:第二场(敌我攻守,31%)；转折:第三场(敌我攻守,37%)；高潮:第三场(敌我攻守,37%)；结局:第四场(敌我攻守,63%)"
02004029,造白袍,M04,单峰转折型,The Early Climax / Anti-climax,5,63-91-38-48-40,开端:骨肉伦理；发展:敌我攻守；转折:骨肉伦理；高潮:敌我攻守；结局:敌我攻守,发展,91.0,53.0,3,2,峰值提前在发展(91.0)，后续未形成更高增量。,0.84,"开端:第一场(骨肉伦理,63%)；发展:第二场(敌我攻守,91%)；转折:第三场(骨肉伦理,38%)；高潮:第四场(敌我攻守,48%)；结局:第五场(敌我攻守,40%)"
